Site,Date,Method,Throws,Rope Length_m,FlowMeterBegin,FlowMeterEnd,MeshSize_Microns,RingSize_cm,TotalVolume_ml,SplitFraction,Volumesubsampled_ml,Phylum,Class,Subclass,Order,Family,Genus,Species,male/female,LifeStage,abundance,Gravid_Y_N,Total_eggs,QC
VN_01,2021-06-24,net throw,4,5,na,na,153,30,100,1,6,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,acanthocyclops,,copepidite,10,,,NSC
VN_01,2021-06-24,net throw,4,5,na,na,153,30,100,1,6,Arthropoda,Maxillopoda,Copepoda,Cyclooida,Cyclopidae,Cyclopidae,cyclopoida,,nauplii,2,,,NSC
VN_01,2021-06-24,net throw,4,5,na,na,153,30,100,1,6,Arthropoda,Maxillopoda,Copepoda,Calanoida,Calanoida,Calanoida,calanoida,,nauplii,2,,,NSC
VN_01,2021-06-24,net throw,4,5,na,na,153,30,100,1,6,Arthropoda,Maxillopoda,Copepoda,Harpacticoida,Harpacticoida,Harpacticoida,harpacticoida,,adult,78,,,NSC
VN_01,2021-06-24,net throw,4,5,na,na,153,30,100,1,6,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,bosmina,,adult,1,,,NSC
VN_01,2021-06-24,net throw,4,5,na,na,153,30,100,1,6,Annelida,polychaeta,polychaeta,polychaeta,polychaeta,polychaeta,polychaete,,adult,5,,,NSC
VN_01,2021-06-24,net throw,4,5,na,na,153,30,100,1,6,Arthopoda,Insecta,0,Diptera,Chironomidae,Chironomidae,chironomidae,,adult,118,,,NSC
VN_01,2021-06-24,net throw,4,5,na,na,153,30,100,1,6,Annelida,oligocheate,oligocheate,oligocheate,oligocheate,oligocheate,oligochaeta,,adult,5,,,NSC
VN_01,2021-06-24,net throw,4,5,na,na,153,30,100,1,6,Nematoda,Nematoda,Nematoda,Nematoda,Nematoda,Nematoda,nematoda,,adult,10,,,NSC
VN_01,2021-06-24,net throw,4,5,na,na,153,30,100,1,6,Cnidaria,Hydrozoa,Leptolinae,Anthomedusae,Hydridae,Hydra,hydra,,adult,2,,,NSC
VN_01,2021-06-24,net throw,4,5,na,na,153,30,100,1,6,Arthopoda,Insecta,0,Diptera,Ceratopogonidae,0,ceratopogonidae,,larvae,1,,,NSC
VN_01,2021-06-24,net throw,4,5,na,na,153,30,100,1,6,Arthopoda,Insecta,0,Diptera,Chironomidae,Chironomidae,chironomidae,,pupa,1,,,NSC
VN_01,2021-06-24,net throw,4,5,na,na,153,30,100,1,6,Arthopoda,Insecta,0,Coleoptera,0,0,coleoptera,,larvae,1,,,NSC
VN_02_Dam,2021-06-24,net throw,4,5,na,na,153,30,50,1,4,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,acanthocyclops,,copepidite,37,,,NSC
VN_02_Dam,2021-06-24,net throw,4,5,na,na,153,30,50,1,4,Arthropoda,Maxillopoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,acanthocyclops,,adult,2,,,NSC
VN_02_Dam,2021-06-24,net throw,4,5,na,na,153,30,50,1,4,Arthropoda,Maxillopoda,Copepoda,Calanoida,Calanoida,Calanoida,calanoida,,nauplii,3,,,NSC
VN_02_Dam,2021-06-24,net throw,4,5,na,na,153,30,50,1,4,Arthropoda,Maxillopoda,Copepoda,Harpacticoida,Harpacticoida,Harpacticoida,harpacticoida,,adult,118,,,NSC
VN_02_Dam,2021-06-24,net throw,4,5,na,na,153,30,50,1,4,Arthropoda,Branchipoda,0,Cladocera,Bosminidae,Bosmina,bosmina,,adult,6,,,NSC
VN_02_Dam,2021-06-24,net throw,4,5,na,na,153,30,50,1,4,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Chydorus,chydorus,,adult,1,,,NSC
VN_02_Dam,2021-06-24,net throw,4,5,na,na,153,30,50,1,4,Arthropoda,Branchipoda,0,Cladocera,Chydoridae,Alona,alona,,adult,1,,,NSC
VN_02_Dam,2021-06-24,net throw,4,5,na,na,153,30,50,1,4,Arthropoda,Branchipoda,0,Cladocera,Ilyocryptidae,ilyocryptus,ilyocryptus,,adult,1,,,NSC
VN_02_Dam,2021-06-24,net throw,4,5,na,na,153,30,50,1,4,Arthopoda,Ostracoda,Podacopa,Podacopida,Cyprididae,Eucypris,eucypris,,adult,53,,,NSC
VN_02_Dam,2021-06-24,net throw,4,5,na,na,153,30,50,1,4,Arthropoda,Ostracoda,Podacopa,Podacopida,Ilyocryprididae,Ilyocypris,illyocypris,,adult,10,,,NSC
VN_02_Dam,2021-06-24,net throw,4,5,na,na,153,30,50,1,4,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,Rotifera,rotifera,,adult,1,,,NSC
VN_02_Dam,2021-06-24,net throw,4,5,na,na,153,30,50,1,4,Arthropoda,Arachnida,acari,Hydracarina,0,0,acari,,adult,1,,,NSC
VN_02_Dam,2021-06-24,net throw,4,5,na,na,153,30,50,1,4,Arthopoda,Insecta,0,Diptera,Chironomidae,Chironomidae,chironomidae,,larvae,24,,,NSC
VN_02_Dam,2021-06-24,net throw,4,5,na,na,153,30,50,1,4,Nematoda,Nematoda,Nematoda,Nematoda,Nematoda,Nematoda,nematoda,,adult,19,,,NSC
VN_02_Dam,2021-06-24,net throw,4,5,na,na,153,30,50,1,4,Arthropoda,Insecta,Pterygota,Thysanoptera,0,0,thysanoptera,,adult,1,,,NSC
VN_02_Dam,2021-06-24,net throw,4,5,na,na,153,30,50,1,4,Arthopoda,Insecta,0,Diptera,Diptera,Diptera,diptera,,larvae,3,,,NSC
